Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Camp Name,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Protection Event Context,Victim of Violence,Survivor or Victim Sex,Survivor or Victim Minor,Number of Attacks on Camps Reporting Destruction,Number of Attacks on Camps Reporting Damaged,Camp Resident Killed,Camp Resident Injured,Camp Residents Kidnapped,Camp Residents Arrested,Camp Residents Targeted with CRSV,Service Provider Killed,Service Provider Kidnapped,Service Provider Arrested,Service Provider Targeted with CRSV,SiND ID
2025-04-29,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Firearms,Targetted Attack on Camp,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,96166
2025-04-28,,Sudan,SDN,East Darfur State,11.8,26.2,(2) 25 km Precision ,El Neem Camp,NSA,Darfur rebels,No Information on the Weapon Used,Education/Health Affected,No Direct Victim Reported,No Direct Victim Reported,No Direct Victim Reported,0,0,0,0,0,0,0,0,0,0,0,96297
2025-04-26,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Firearms,None,Camp Resident,Multiple,Multiple,0,0,0,0,0,0,0,0,0,0,0,99731
2025-04-25,,Sudan,SDN,Al Khartum,15.5,32.5,(2) 25 km Precision ,Temporary/Makeshift Site,NSA,Rapid Support Forces,Aerial Bomb: Drone,Airstrike/Shelling,Camp Resident,No Information,Adult,0,0,0,0,0,0,0,0,0,0,0,100784
2025-04-25,,Sudan,SDN,River Nile State,17.6,33.9,(2) 25 km Precision ,Temporary/Makeshift Site,NSA,Rapid Support Forces,Aerial Bomb: Drone,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,11,18,0,0,0,0,0,0,0,99846
2025-04-24,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,10,0,0,0,0,0,0,0,0,99717
2025-04-24,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Firearms,CRSV in Protection Context,Camp Resident,Female,Adult,0,0,0,0,0,0,1,0,0,0,0,109108
2025-04-23,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Firearms,CRSV in Protection Context,"Camp Resident, Camp Resident Child",Female,Minor,0,0,0,0,0,0,1,0,0,0,0,109106
2025-04-23,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,20,17,0,0,0,0,0,0,0,99715
2025-04-23,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Firearms,CRSV in Protection Context,Camp Resident,Female,Adult,0,0,0,0,0,0,1,0,0,0,0,109107
2025-04-22,,Sudan,SDN,Kassala State,14.7,35.9,(2) 25 km Precision ,Shagarab Camp,NSA,Armed group,Firearms,Camp Resident Kidnapped,Camp Resident,Female,Minor,0,0,0,0,1,0,0,0,0,0,0,99734
2025-04-22,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,7,8,0,0,0,0,0,0,0,99714
2025-04-21,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,2,10,0,0,0,0,0,0,0,99718
2025-04-21,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Knife,Camp Resident Attacked/Killed,Camp Resident,No Information,Adult,0,0,1,0,0,0,0,0,0,0,0,99730
2025-04-19,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,99713
2025-04-17,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Health Worker ,Male,Adult,0,1,0,0,0,0,0,1,0,0,0,97263
2025-04-16,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,Host Government: Military,Sudanese Armed Forces,Firearms,Camp Resident Arrested,Camp Resident,No Information,Adult,0,0,0,0,0,50,0,0,0,0,0,99723
2025-04-15,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,3,1,0,0,0,0,0,0,0,99712
2025-04-15,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Adult,0,1,1,1,0,0,0,0,0,0,0,99732
2025-04-15,,Sudan,SDN,North Darfur State,13.4,25.3,(2) 25 km Precision ,Zamzam Camp,NSA,Armed group,Arson,Camp Arson/Fire,Camp Resident,No Information,Adult,0,0,0,0,0,0,0,0,0,0,0,99729
2025-04-14,,Sudan,SDN,North Darfur State,13.6,25.3,(2) 25 km Precision ,Abu Shouk Camp,NSA,Rapid Support Forces,Artillery,Airstrike/Shelling,Camp Resident,No Information,Multiple,0,1,3,1,0,0,0,0,0,0,0,99711
