state_code,state_name,report_date,idps,households,rank,hotspot,year
SD04,West Darfur,2023-04-27,194593.0,38919.0,1.0,True,2023
SD03,South Darfur,2023-04-27,45000.0,9000.0,2.0,True,2023
SD17,Northern,2023-04-27,29200.0,5840.0,3.0,True,2023
SD01,Khartoum,2023-04-27,13545.0,2709.0,4.0,True,2023
SD13,North Kordofan,2023-04-27,13270.0,2654.0,5.0,True,2023
SD02,North Darfur,2023-04-27,11675.0,2335.0,6.0,False,2023
SD15,Aj Jazirah,2023-04-27,8795.0,1759.0,7.0,False,2023
SD09,White Nile,2023-04-27,6165.0,1233.0,8.0,False,2023
SD14,Sennar,2023-04-27,5560.0,1112.0,9.0,False,2023
SD16,River Nile,2023-04-27,2910.0,582.0,10.0,False,2023
SD06,Central Darfur,2023-04-27,1780.0,356.0,11.0,False,2023
SD10,Red Sea,2023-04-27,1205.0,241.0,12.0,False,2023
SD08,Blue Nile,2023-04-27,260.0,52.0,13.0,False,2023
SD11,Kassala,2023-04-27,95.0,19.0,14.0,False,2023
SD07,South Kordofan,2023-04-27,0.0,0.0,15.0,False,2023
SD05,East Darfur,2023-04-27,0.0,0.0,16.0,False,2023
SD12,Gedaref,2023-04-27,0.0,0.0,17.0,False,2023
SD18,West Kordofan,2023-04-27,0.0,0.0,18.0,False,2023
SD09,White Nile,2023-05-05,188635.0,37727.0,1.0,True,2023
SD04,West Darfur,2023-05-05,156565.0,31041.0,2.0,True,2023
SD17,Northern,2023-05-05,106600.0,24048.0,3.0,True,2023
SD16,River Nile,2023-05-05,96095.0,19219.0,4.0,True,2023
SD15,Aj Jazirah,2023-05-05,49280.0,9856.0,5.0,True,2023
SD03,South Darfur,2023-05-05,45000.0,9000.0,6.0,False,2023
SD01,Khartoum,2023-05-05,22975.0,4595.0,7.0,False,2023
SD02,North Darfur,2023-05-05,22075.0,4415.0,8.0,False,2023
SD14,Sennar,2023-05-05,20235.0,4047.0,9.0,False,2023
SD13,North Kordofan,2023-05-05,16768.0,3252.0,10.0,False,2023
SD10,Red Sea,2023-05-05,8895.0,1779.0,11.0,False,2023
SD06,Central Darfur,2023-05-05,1780.0,356.0,12.0,False,2023
SD08,Blue Nile,2023-05-05,715.0,143.0,13.0,False,2023
SD11,Kassala,2023-05-05,305.0,61.0,14.0,False,2023
SD12,Gedaref,2023-05-05,300.0,60.0,15.0,False,2023
SD05,East Darfur,2023-05-05,0.0,0.0,16.0,False,2023
SD07,South Kordofan,2023-05-05,0.0,0.0,17.0,False,2023
SD18,West Kordofan,2023-05-05,0.0,0.0,18.0,False,2023
SD01,Khartoum,2024-04-25,69057.0,13717.0,18.0,False,2024
SD02,North Darfur,2024-04-25,573055.0,114503.0,4.0,True,2024
SD03,South Darfur,2024-04-25,744243.0,148848.0,1.0,True,2024
SD04,West Darfur,2024-04-25,174540.0,34908.0,14.0,False,2024
SD05,East Darfur,2024-04-25,660140.0,131918.0,3.0,True,2024
SD06,Central Darfur,2024-04-25,430224.0,86044.0,8.0,False,2024
SD07,South Kordofan,2024-04-25,198839.0,39492.0,13.0,False,2024
SD08,Blue Nile,2024-04-25,147736.0,29836.0,17.0,False,2024
SD09,White Nile,2024-04-25,532643.0,105920.0,5.0,True,2024
SD10,Red Sea,2024-04-25,247874.0,49953.0,11.0,False,2024
SD11,Kassala,2024-04-25,200083.0,40282.0,12.0,False,2024
SD12,Gedaref,2024-04-25,492293.0,97817.0,7.0,False,2024
SD13,North Kordofan,2024-04-25,174007.0,34261.0,15.0,False,2024
SD14,Sennar,2024-04-25,523986.0,104002.0,6.0,False,2024
SD15,Aj Jazirah,2024-04-25,371177.0,73323.0,10.0,False,2024
SD16,River Nile,2024-04-25,698334.0,137799.0,2.0,True,2024
SD17,Northern,2024-04-25,399867.0,80305.0,9.0,False,2024
SD18,West Kordofan,2024-04-25,148718.0,29340.0,16.0,False,2024
