state_code,state_name,report_date,idps,households,rank,hotspot,year
SD04,West Darfur,2023-04-27,194593.0,38919.0,1.0,True,2023
SD03,South Darfur,2023-04-27,45000.0,9000.0,2.0,True,2023
SD17,Northern,2023-04-27,29200.0,5840.0,3.0,True,2023
SD01,Khartoum,2023-04-27,13545.0,2709.0,4.0,True,2023
SD13,North Kordofan,2023-04-27,13270.0,2654.0,5.0,True,2023
SD09,White Nile,2023-05-05,188635.0,37727.0,1.0,True,2023
SD04,West Darfur,2023-05-05,156565.0,31041.0,2.0,True,2023
SD17,Northern,2023-05-05,106600.0,24048.0,3.0,True,2023
SD16,River Nile,2023-05-05,96095.0,19219.0,4.0,True,2023
SD15,Aj Jazirah,2023-05-05,49280.0,9856.0,5.0,True,2023
SD03,South Darfur,2024-04-25,744243.0,148848.0,1.0,True,2024
SD16,River Nile,2024-04-25,698334.0,137799.0,2.0,True,2024
SD05,East Darfur,2024-04-25,660140.0,131918.0,3.0,True,2024
SD02,North Darfur,2024-04-25,573055.0,114503.0,4.0,True,2024
SD09,White Nile,2024-04-25,532643.0,105920.0,5.0,True,2024
