state_code,state,idps,households
SD01,Khartoum,69057.0,13717
SD02,North Darfur,573055.0,114503
SD03,South Darfur,744243.0,148848
SD04,West Darfur,174540.0,34908
SD05,East Darfur,660140.0,131918
SD06,Central Darfur,430224.0,86044
SD07,South Kordofan,198839.0,39492
SD08,Blue Nile,147736.0,29836
SD09,White Nile,532643.0,105920
SD10,Red Sea,247874.0,49953
SD11,Kassala,200083.0,40282
SD12,Gedaref,492293.0,97817
SD13,North Kordofan,174007.0,34261
SD14,Sennar,523986.0,104002
SD15,Aj Jazirah,371177.0,73323
SD16,River Nile,698334.0,137799
SD17,Northern,399867.0,80305
SD18,West Kordofan,148718.0,29340
